1150 11 5.67 5.16
1150 12 5.21 5.74
1150 13 6.09 4.44
1150 14 7.75 7.43
1150 15 8.09 6.55
1150 16 8.01 5.6
1150 17 8.68 7.67
1150 18 9.53 6.83
1150 20 10.12 7.5
1150 21 11.33 5.2
1160 11 4.94 4.95
1160 12 4.45 5.61
1160 13 5.38 4.17
1160 14 6.92 7.36
1160 15 7.32 6.51
1160 16 7.24 5.38
1160 17 7.57 7.95
1160 18 8.56 6.74
1160 20 8.99 7.48
1160 21 10.52 4.69
1170 11 4.26 4.71
1170 12 3.76 5.6
1170 13 4.68 3.91
1170 14 6.02 7.19
1170 15 6.55 6.4
1170 16 6.62 5.39
1170 17 6.77 7.97
1170 18 7.82 6.82
1170 20 7.98 7.51
1170 21 9.65 4.34
1180 11 3.54 4.54
1180 12 3.03 5.39
1180 13 4.01 3.71
1180 14 5.23 7.1
1180 15 5.77 6.26
1180 16 5.77 5.36
1180 17 5.91 8.16
1180 18 6.88 6.9
1180 20 7.05 7.62
1180 21 8.73 4.0
1190 11 2.82 4.35
1190 12 2.28 5.24
1190 13 3.3 3.57
1190 14 4.43 7.0
1190 15 5.0 6.07
1190 16 4.99 5.22
1190 17 4.93 8.13
1190 18 5.81 6.96
1190 20 5.9 7.71
1190 21 7.79 3.79
1200 11 2.16 4.19
1200 12 1.57 5.06
1200 13 2.59 3.42
1200 14 3.66 6.99
1200 15 4.16 6.01
1200 16 4.16 5.19
1200 17 3.5 8.04
1200 18 4.87 6.92
1200 20 4.87 7.68
1200 21 6.83 3.62
1210 11 1.39 3.97
1210 12 0.83 4.87
1210 13 1.89 3.28
1210 14 2.87 6.86
1210 15 3.39 5.83
1210 16 3.41 5.0
1210 17 2.44 7.9
1210 18 4.06 6.82
1210 20 3.91 7.71
1210 21 5.85 3.4
1220 11 0.71 3.72
1220 12 0.11 4.68
1220 13 1.22 3.06
1220 14 2.0 6.75
1220 15 2.37 5.98
1220 16 2.54 5.01
1220 17 1.48 7.63
1220 18 3.01 6.78
1220 20 2.95 7.8
1220 21 4.91 3.24
1220 22 11.86 5.17
1230 11 0.01 3.41
1230 12 -0.65 4.3
1230 13 0.53 2.76
1230 14 1.19 6.6
1230 15 1.53 5.83
1230 16 1.66 4.83
1230 17 0.53 7.31
1230 18 2.19 6.64
1230 20 1.93 7.8
1230 21 3.92 3.09
1230 22 10.95 4.94
1240 11 -0.63 3.08
1240 12 -1.48 3.9
1240 13 -0.07 2.47
1240 14 0.33 6.47
1240 15 0.68 5.71
1240 16 0.85 4.84
1240 17 -0.36 6.97
1240 18 1.26 6.73
1240 20 0.95 7.68
1240 21 3.05 2.8
